Adam Driver
Jack Lemmon
Jack Lemmon
Jack Lemmon
Jack Lemmon 
Jack Nicholson
Jack Nicholson
Jack Nicholson
Jack Nicholson
Jack Nicholson
Jack Nicholson
Jack Nicholson 
Jack Nicholson 
Jackie Cooper
James Cagney
James Cagney
James Cagney 
James Dean *
James Dean *
James Earl Jones
James Franco
James Garner
James Mason
James Stewart
James Stewart
James Stewart
James Stewart
James Stewart 
James Whitmore
James Woods
Jamie Foxx 
Javier Bardem
Javier Bardem
Jean Dujardin 
Jeff Bridges
Jeff Bridges
Jeff Bridges 
Jeremy Irons 
Jeremy Renner
Jesse Eisenberg
Joaquin Phoenix
Joaquin Phoenix
Joaquin Phoenix 
John Garfield
John Hurt
John Travolta
John Travolta
John Wayne
John Wayne 
Johnny Depp
Johnny Depp
Johnny Depp
Jon Voight
Jon Voight
Jon Voight 
Jonathan Pryce
José Ferrer
José Ferrer 
Jude Law
Kenneth Branagh
Kevin Costner
Kevin Spacey 
Kirk Douglas
Kirk Douglas
Kirk Douglas
Larry Parks
Laurence Fishburne
Laurence Harvey
Laurence Olivier
Laurence Olivier
Laurence Olivier
Laurence Olivier
Laurence Olivier
Laurence Olivier
Laurence Olivier
Laurence Olivier
Laurence Olivier 
Lawrence Tibbett
Lee Marvin 
Leonardo DiCaprio
Leonardo DiCaprio
Leonardo DiCaprio
Leonardo DiCaprio
Leonardo DiCaprio 
Leslie Howard
Leslie Howard
Lew Ayres
Lewis Stone
Liam Neeson
Lionel Barrymore 
Louis Calhern
Marcello Mastroianni
Marcello Mastroianni
Marcello Mastroianni
Marlon Brando
Marlon Brando
Marlon Brando
Marlon Brando
Marlon Brando
Marlon Brando 
Marlon Brando §
Massimo Troisi *
Matt Damon
Matt Damon
Matthew McConaughey 
Maurice Chevalier 
Max von Sydow
Maximilian Schell
Maximilian Schell 
Melvyn Douglas
Michael Caine
Michael Caine
Michael Caine
Michael Caine
Michael Douglas 
Michael Fassbender
Michael Keaton
Michael Redgrave
Mickey Rooney
Mickey Rooney
Mickey Rourke
Montgomery Clift
Montgomery Clift
Montgomery Clift
Monty Woolley
Morgan Freeman
Morgan Freeman
Morgan Freeman
Nick Nolte
Nick Nolte
Nicolas Cage
Nicolas Cage 
Nigel Hawthorne
Orson Welles
Oskar Werner
Paul Lukas 
Paul Muni
Paul Muni
Paul Muni
Paul Muni
Paul Muni 
Paul Muni 
Paul Newman
Paul Newman
Paul Newman
Paul Newman
Paul Newman
Paul Newman
Paul Newman
Paul Newman 
Paul Scofield 
Paul Winfield
Peter Finch
Peter Finch ^
Peter Fonda
Peter O'Toole
Peter O'Toole
Peter O'Toole
Peter O'Toole
Peter O'Toole
Peter O'Toole
Peter O'Toole
Peter O'Toole
Peter Sellers
Peter Sellers
Philip Seymour Hoffman 
Ralph Fiennes
Rami Malek 
Ray Milland 
Raymond Massey
Rex Harrison
Rex Harrison 
Richard Barthelmess
Richard Burton
Richard Burton
Richard Burton
Richard Burton
Richard Burton
Richard Burton
Richard Dix
Richard Dreyfuss
Richard Dreyfuss 
Richard Farnsworth
Richard Harris
Richard Harris
Richard Jenkins
Richard Todd
Robert De Niro
Robert De Niro
Robert De Niro
Robert De Niro
Robert De Niro 
Robert Donat
Robert Donat 
Robert Downey Jr.
Robert Duvall
Robert Duvall
Robert Duvall 
Robert Montgomery
Robert Montgomery
Robert Redford
Roberto Benigni 
Robin Williams
Robin Williams
Robin Williams
Rock Hudson
Rod Steiger
Rod Steiger 
Ron Moody
Ronald Colman
Ronald Colman 
Ronald Colman 
Roy Scheider
Russell Crowe
Russell Crowe
Russell Crowe 
Ryan Gosling
Ryan Gosling
Ryan O'Neal
Sam Waterston
Sean Penn
Sean Penn
Sean Penn
Sean Penn 
Sean Penn 
Sidney Poitier
Sidney Poitier 
Spencer Tracy
Spencer Tracy
Spencer Tracy
Spencer Tracy
Spencer Tracy
Spencer Tracy
Spencer Tracy 
Spencer Tracy 
Spencer Tracy *
Stephen Rea
Steve Carell
Steve McQueen
Stuart Whitman
Sylvester Stallone
Terrence Howard
Timothée Chalamet
Tom Conti
Tom Courtenay
Tom Cruise
Tom Cruise
Tom Hanks
Tom Hanks
Tom Hanks
Tom Hanks 
Tom Hanks 
Tom Hulce
Tom Wilkinson
Tommy Lee Jones
Tony Curtis
Topol
Trevor Howard
Victor McLaglen 
Viggo Mortensen
Viggo Mortensen
Viggo Mortensen
Wallace Beery
Wallace Beery  
Walter Huston
Walter Huston
Walter Matthau
Walter Matthau
Walter Pidgeon
Walter Pidgeon
Warner Baxter 
Warren Beatty
Warren Beatty
Warren Beatty
Warren Beatty
Will Smith
Will Smith
Willem Dafoe
William Holden
William Holden
William Holden 
William Hurt
William Hurt
William Hurt 
William Powell
William Powell
William Powell
Woody Allen
Woody Harrelson
Yul Brynner 
Ali MacGraw
Amy Adams
Angela Bassett
Angelina Jolie
Anjelica Huston
Ann Harding
Anna Magnani
Anna Magnani 
Anne Bancroft
Anne Bancroft
Anne Bancroft
Anne Bancroft
Anne Bancroft 
Anne Baxter
Anne Hathaway
Annette Bening
Annette Bening
Annette Bening
Ann-Margret
Anouk Aimée
Audrey Hepburn
Audrey Hepburn
Audrey Hepburn
Audrey Hepburn
Audrey Hepburn 
Ava Gardner
Barbara Stanwyck
Barbara Stanwyck
Barbara Stanwyck
Barbara Stanwyck
Barbra Streisand
Barbra Streisand  
Bessie Love
Bette Davis
Bette Davis
Bette Davis
Bette Davis
Bette Davis
Bette Davis
Bette Davis
Bette Davis
Bette Davis 
Bette Davis 
Bette Davis 
Bette Midler
Bette Midler
Betty Compson
Brenda Blethyn
Brie Larson 
Carey Mulligan
Carol Kane
Carole Lombard
Carrie Snodgress
Carroll Baker
Catalina Sandino Moreno
Cate Blanchett
Cate Blanchett
Cate Blanchett
Cate Blanchett 
Catherine Deneuve
Celia Johnson
Charlize Theron
Charlize Theron
Charlize Theron 
Charlotte Rampling
Cher 
Cicely Tyson
Claudette Colbert
Claudette Colbert
Claudette Colbert 
Corinne Griffith
Cynthia Erivo
Debbie Reynolds
Deborah Kerr
Deborah Kerr
Deborah Kerr
Deborah Kerr
Deborah Kerr
Deborah Kerr
Debra Winger
Debra Winger
Debra Winger
Diahann Carroll
Diana Ross
Diana Wynyard
Diane Keaton
Diane Keaton
Diane Keaton
Diane Keaton 
Diane Lane
Doris Day
Dorothy Dandridge
Dorothy McGuire
Edith Evans
Eleanor Parker
Eleanor Parker
Eleanor Parker
Elisabeth Bergner
Elisabeth Shue
Elizabeth Hartman
Elizabeth Taylor
Elizabeth Taylor
Elizabeth Taylor
Elizabeth Taylor 
Elizabeth Taylor 
Ellen Burstyn
Ellen Burstyn
Ellen Burstyn
Ellen Burstyn
Ellen Burstyn 
Ellen Page
Emily Watson
Emily Watson
Emma Stone 
Emma Thompson
Emma Thompson
Emma Thompson 
Emmanuelle Riva
Fay Bainter
Faye Dunaway
Faye Dunaway
Faye Dunaway 
Felicity Huffman
Felicity Jones
Fernanda Montenegro
Frances McDormand 
Frances McDormand 
Gabourey Sidibe
Geena Davis
Gena Rowlands
Gena Rowlands
Gene Tierney
Geneviève Bujold
Geraldine Page
Geraldine Page
Geraldine Page
Geraldine Page 
Ginger Rogers 
Gladys George
Glenda Jackson
Glenda Jackson
Glenda Jackson 
Glenda Jackson 
Glenn Close
Glenn Close
Glenn Close
Glenn Close
Gloria Swanson
Gloria Swanson
Gloria Swanson
Goldie Hawn
Grace Kelly 
Grace Moore
Greer Garson
Greer Garson
Greer Garson
Greer Garson
Greer Garson
Greer Garson
Greer Garson 
Greta Garbo
Greta Garbo
Greta Garbo
Gwyneth Paltrow 
Halle Berry 
Helen Hayes 
Helen Hunt 
Helen Mirren
Helen Mirren 
Helena Bonham Carter
Hilary Swank 
Hilary Swank 
Holly Hunter
Holly Hunter 
Ida Kamińska
Imelda Staunton
Ingrid Bergman
Ingrid Bergman
Ingrid Bergman
Ingrid Bergman
Ingrid Bergman 
Ingrid Bergman 
Irene Dunne
Irene Dunne
Irene Dunne
Irene Dunne
Irene Dunne
Isabelle Adjani
Isabelle Adjani
Isabelle Huppert
Jane Alexander
Jane Alexander
Jane Fonda
Jane Fonda
Jane Fonda
Jane Fonda
Jane Fonda 
Jane Fonda 
Jane Wyman
Jane Wyman
Jane Wyman
Jane Wyman 
Janet Gaynor
Janet Gaynor 
Janet McTeer
Janet Suzman
Jean Arthur
Jean Simmons
Jeanne Crain
Jeanne Eagels
Jennifer Jones
Jennifer Jones
Jennifer Jones
Jennifer Jones 
Jennifer Lawrence
Jennifer Lawrence
Jennifer Lawrence 
Jessica Chastain
Jessica Lange
Jessica Lange
Jessica Lange
Jessica Lange
Jessica Lange 
Jessica Tandy 
Jill Clayburgh
Jill Clayburgh
Joan Allen
Joan Crawford
Joan Crawford
Joan Crawford 
Joan Fontaine
Joan Fontaine
Joan Fontaine 
Joanne Woodward
Joanne Woodward
Joanne Woodward
Joanne Woodward 
Jodie Foster
Jodie Foster 
Jodie Foster 
Judi Dench
Judi Dench
Judi Dench
Judi Dench
Judi Dench
Judy Davis
Judy Garland
Judy Holliday 
Julia Roberts
Julia Roberts 
Julianne Moore
Julianne Moore
Julianne Moore 
Julie Andrews
Julie Andrews
Julie Andrews 
Julie Christie
Julie Christie
Julie Christie
Julie Christie 
Julie Harris
Julie Walters
Juliette Binoche
Kate Winslet
Kate Winslet
Kate Winslet
Kate Winslet 
Katharine Hepburn
Katharine Hepburn
Katharine Hepburn
Katharine Hepburn
Katharine Hepburn
Katharine Hepburn
Katharine Hepburn
Katharine Hepburn
Katharine Hepburn 
Katharine Hepburn 
Katharine Hepburn 
Katharine Hepburn  
Kathleen Turner
Kathy Bates 
Keira Knightley
Keisha Castle-Hughes
Kim Stanley
Kristin Scott Thomas
Lady Gaga
Lana Turner
Laura Dern
Laura Linney
Laura Linney
Lee Remick
Leslie Caron
Leslie Caron
Liv Ullmann
Liv Ullmann
Liza Minnelli
Liza Minnelli 
Loretta Young
Loretta Young 
Louise Dresser
Louise Fletcher 
Luise Rainer 
Luise Rainer 
Lynn Fontanne
Lynn Redgrave
Maggie McNamara
Maggie Smith
Maggie Smith 
Margaret Sullavan
Margot Robbie
Marie Dressler
Marie Dressler 
Marie-Christine Barrault
Marion Cotillard
Marion Cotillard 
Marlee Matlin 
Marlene Dietrich
Marsha Mason
Marsha Mason
Marsha Mason
Marsha Mason
Martha Scott
Mary McDonnell
Mary Pickford 
Mary Tyler Moore
May Robson
Melanie Griffith
Melina Mercouri
Melissa Leo
Melissa McCarthy
Merle Oberon
Meryl Streep
Meryl Streep
Meryl Streep
Meryl Streep
Meryl Streep
Meryl Streep
Meryl Streep
Meryl Streep
Meryl Streep
Meryl Streep
Meryl Streep
Meryl Streep
Meryl Streep
Meryl Streep
Meryl Streep
Meryl Streep 
Meryl Streep 
Michelle Pfeiffer
Michelle Pfeiffer
Michelle Williams
Michelle Williams
Miranda Richardson
Miriam Hopkins
Nancy Carroll
Nancy Kelly
Naomi Watts
Naomi Watts
Natalie Portman
Natalie Portman 
Natalie Wood
Natalie Wood
Nicole Kidman
Nicole Kidman
Nicole Kidman 
Norma Shearer
Norma Shearer
Norma Shearer
Norma Shearer
Norma Shearer
Norma Shearer 
Olivia Colman 
Olivia de Havilland
Olivia de Havilland
Olivia de Havilland 
Olivia de Havilland 
Patricia Neal
Patricia Neal 
Pauline Collins
Penélope Cruz
Piper Laurie
Quvenzhané Wallis
Rachel Roberts
Reese Witherspoon
Reese Witherspoon 
Renée Zellweger
Renée Zellweger
Renée Zellweger 
Rooney Mara
Rosalind Russell
Rosalind Russell
Rosalind Russell
Rosalind Russell
Rosamund Pike
Ruth Chatterton
Ruth Chatterton
Ruth Negga
Sally Field 
Sally Field 
Sally Hawkins
Sally Kirkland
Salma Hayek
Samantha Eggar
Samantha Morton
Sandra Bullock
Sandra Bullock 
Saoirse Ronan
Saoirse Ronan
Saoirse Ronan
Sarah Miles
Scarlett Johansson
Sharon Stone
Shelley Winters
Shirley Booth 
Shirley MacLaine
Shirley MacLaine
Shirley MacLaine
Shirley MacLaine
Shirley MacLaine 
Sigourney Weaver
Sigourney Weaver
Simone Signoret
Simone Signoret 
Sissy Spacek
Sissy Spacek
Sissy Spacek
Sissy Spacek
Sissy Spacek
Sissy Spacek 
Sophia Loren
Sophia Loren 
Stockard Channing
Susan Hayward
Susan Hayward
Susan Hayward
Susan Hayward
Susan Hayward 
Susan Sarandon
Susan Sarandon
Susan Sarandon
Susan Sarandon
Susan Sarandon 
Talia Shire
Teresa Wright
Valerie Perrine
Vanessa Redgrave
Vanessa Redgrave
Vanessa Redgrave
Vanessa Redgrave
Viola Davis
Vivien Leigh 
Vivien Leigh 
Wendy Hiller
Whoopi Goldberg
Winona Ryder
Yalitza Aparicio
